"Data de Ocorrência",Monitoramento,Servico,"Manifestações Quantidade","Usuário","Título","Conteúdo",Link,"Tipo Conteudo","Manifestacoes Detalhado","data_ultima_atualizacao",datacoleta
"2025-03-28T10:35:48.000Z","Desinformação em Políticas Públicas",X,53014987,ovinhosdowoozi,,"novo fetiche ver nerdzinho de matemática descendo o cacete em valentão de ensino médio https://x.com/dcsmeras/status/1737170851487748525/video/1","https://twitter.com/i/web/status/1905614805001461874","Vídeo","{""favorites"":0,""replies"":0,""retweets"":0,""videoViews"":53014987,""quotes"":0}","2025-03-28T13:51:48.000Z","2025-03-28T10:35:58.000Z"
"2025-03-18T18:27:54.000Z","Acessibilidade e inclusão PCD",X,41632118,brknagila,,"foda q sabia q mais cedo ou mais tarde isso ia acontecer mas msm assim fui infeliz em fazer as coisas e agora me sentindo uma merda bosta retardada https://x.com/margotposts/status/1705245709677510872/video/1","https://twitter.com/i/web/status/1902109731918893106","Vídeo","{""favorites"":0,""replies"":0,""retweets"":0,""videoViews"":41632118,""quotes"":0}","2025-03-18T22:05:51.000Z","2025-03-18T18:28:02.000Z"
"2025-03-28T20:19:43.000Z","Igualdade Racial ",X,37530474,melinalopesm,,"[28.03.2025, 18:55:20]: Ela bebia que bem caminhão, fumava tudo que era possível fumar, não dormia, não comida bem, trabalhava feito escrava https://x.com/itzryxxn/status/1815467830344822831/video/1","https://twitter.com/i/web/status/1905761750517223500","Vídeo","{""favorites"":0,""replies"":0,""retweets"":0,""videoViews"":37530474,""quotes"":0}","2025-03-28T23:51:11.000Z","2025-03-28T20:19:50.000Z"
"2025-03-25T21:13:57.000Z","Igualdade Racial ",X,31693930,bayewrnmunich,,"1 finalização e 1 gol em menos de 5 minutos os racistas gritando ole https://x.com/feder1coSN/status/1598076220385939457/video/1","https://twitter.com/i/web/status/1904688236208795737","Vídeo","{""favorites"":12,""replies"":0,""retweets"":5,""videoViews"":31693913,""quotes"":0}","2025-03-26T00:47:59.000Z","2025-03-25T21:14:05.000Z"
"2025-03-23T22:46:03.000Z","Desinformação em Políticas Públicas",X,26759935,jostensctorccio,,"O VINNIE E A LARA DO BOXD REALMENTE NÃO SÃO AS MESMAS PESSOAS AI MINHAS TEORIAS DA CONSPIRAÇÃO SÃO HORRÍVEIS https://x.com/bestoftulla/status/1313906667592069120/video/1","https://twitter.com/i/web/status/1903986637341606041","Vídeo","{""favorites"":0,""replies"":1,""retweets"":0,""videoViews"":26759934,""quotes"":0}","2025-03-24T01:57:04.000Z","2025-03-23T22:46:13.000Z"
"2025-03-19T22:37:58.000Z","Acessibilidade e inclusão PCD",X,24102040,"zorojuro_br",,"essa caratbong ta me deixando dodói da cabeça https://x.com/videos144p/status/1871717312442851646/video/1","https://twitter.com/i/web/status/1902535053311111603","Vídeo","{""favorites"":0,""replies"":0,""retweets"":0,""videoViews"":24102040,""quotes"":0}","2025-03-20T01:44:21.000Z","2025-03-19T22:38:13.000Z"
"2025-03-31T23:39:52.000Z","Proteção e Inclusão Vulneraveis: ",X,24037711,devaxtated,,"depois da eliminação da Eca, a Cunata até baixou a bolinha né, mudou completamente o personagem e baixou o tom de voz #BBB25 https://x.com/vfaustt/status/1713273226040651835/video/1","https://twitter.com/i/web/status/1906899282789073273","Vídeo","{""favorites"":1,""replies"":0,""retweets"":0,""videoViews"":24037710,""quotes"":0}","2025-04-01T03:18:22.000Z","2025-03-31T23:44:09.000Z"
"2025-03-26T10:00:05.000Z","Acessibilidade e inclusão PCD",X,19660819,dojademonio,,"to triste real q eu n consigo aprender essa materia de quimica meu deus eu devo ter alguma deficiência cognitiva https://x.com/WOVENRUIN/status/1823018146795553159/video/1","https://twitter.com/i/web/status/1904881040713248870","Vídeo","{""favorites"":1,""replies"":0,""retweets"":0,""videoViews"":19660818,""quotes"":0}","2025-03-26T13:17:19.000Z","2025-03-26T10:00:24.000Z"
"2025-03-25T14:25:50.000Z","Igualdade Racial ",X,19653773,guizocat,,"sinto que virei escrava do trabalho, não consigo mais ficar quieta https://x.com/WOVENRUIN/status/1823018146795553159/video/1","https://twitter.com/i/web/status/1904585531217891474","Vídeo","{""favorites"":1,""replies"":0,""retweets"":0,""videoViews"":19653772,""quotes"":0}","2025-03-25T17:40:07.000Z","2025-03-25T14:29:08.000Z"
"2025-03-31T00:02:55.000Z","Desinformação em Políticas Públicas",X,18234255,pipiizn,,"se eu fosse uma planta nao estaria precisando fazer ensino médio https://x.com/vaiatura/status/1817586448595591194/video/1","https://twitter.com/i/web/status/1906542696174391431","Vídeo","{""favorites"":1,""replies"":1,""retweets"":0,""videoViews"":18234253,""quotes"":0}","2025-03-31T03:35:25.000Z","2025-03-31T00:03:04.000Z"
